0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
A0,A9,A25,A26,A10,A11,A6,A8,A18,A7,A12,A22,A24,A28,A1,A17,A27,A21,A20,A29,A16,A14,A13,A5,A2,A4,A23,A3,A15,A19
A0,A9,A15,A19,A8,A18,A27,A7,A12,A22,A24,A6,A26,A3,A4,A2,A5,A13,A23,A1,A10,A11,A28,A17,A21,A20,A29,A16,A14,A25
A0,A10,A9,A25,A15,A19,A26,A28,A6,A24,A27,A20,A29,A16,A21,A17,A23,A3,A14,A13,A5,A2,A4,A1,A8,A18,A7,A12,A22,A11
A0,A10,A11,A6,A24,A28,A26,A9,A25,A15,A19,A3,A23,A1,A22,A8,A18,A17,A29,A16,A13,A5,A2,A4,A14,A20,A21,A27,A7,A12
A0,A9,A24,A22,A12,A6,A11,A10,A25,A4,A2,A5,A3,A23,A1,A15,A19,A26,A28,A17,A14,A13,A16,A29,A20,A21,A27,A7,A18,A8
A0,A9,A10,A26,A17,A21,A20,A27,A28,A11,A6,A24,A22,A12,A7,A18,A8,A13,A5,A2,A4,A3,A15,A19,A1,A23,A29,A16,A14,A25
A0,A10,A11,A6,A26,A25,A15,A19,A3,A4,A13,A16,A29,A1,A28,A24,A17,A21,A20,A27,A7,A18,A14,A5,A2,A23,A8,A12,A22,A9
A0,A9,A25,A26,A19,A15,A3,A4,A2,A5,A13,A14,A21,A7,A27,A20,A29,A16,A23,A17,A8,A18,A12,A22,A1,A28,A24,A6,A11,A10
A0,A9,A1,A17,A21,A20,A27,A8,A22,A12,A7,A18,A24,A6,A11,A10,A28,A26,A19,A15,A3,A4,A2,A5,A13,A16,A29,A14,A23,A25
A0,A9,A25,A15,A19,A3,A1,A8,A22,A12,A7,A18,A24,A6,A11,A10,A26,A4,A2,A5,A17,A27,A21,A20,A29,A16,A13,A14,A23,A28
A0,A9,A25,A26,A28,A24,A29,A16,A13,A5,A2,A27,A7,A18,A8,A22,A12,A6,A11,A10,A19,A15,A3,A23,A1,A17,A21,A20,A14,A4
A0,A9,A28,A22,A12,A18,A8,A24,A6,A11,A10,A26,A19,A3,A14,A16,A29,A20,A17,A23,A4,A2,A5,A13,A21,A27,A7,A1,A15,A25
